psi_deg,Sred,t_reversal_red
-180.0,0.0,
-179.5,0.0,
-179.0,0.0,
-178.5,0.0,
-178.0,0.0,
-177.5,0.0,
-177.0,0.0,
-176.5,0.0,
-176.0,0.0,
-175.5,0.0,
-175.0,0.0,
-174.5,0.0,
-174.0,0.0,
-173.5,0.0,
-173.0,0.0,
-172.5,0.0,
-172.0,0.0,
-171.5,0.0,
-171.0,0.0,
-170.5,0.0,
-170.0,0.0,
-169.5,0.0,
-169.0,0.0,
-168.5,0.0,
-168.0,0.0,
-167.5,0.0,
-167.0,0.0,
-166.5,0.0,
-166.0,0.0,
-165.5,0.0,
-165.0,0.0,
-164.5,0.0,
-164.0,0.0,
-163.5,0.0,
-163.0,0.0,
-162.5,0.0,
-162.0,0.0,
-161.5,0.0,
-161.0,0.0,
-160.5,0.0,
-160.0,0.0,
-159.5,0.0,
-159.0,0.0,
-158.5,0.0,
-158.0,0.0,
-157.5,0.0,
-157.0,0.0,
-156.5,0.0,
-156.0,0.0,
-155.5,0.0,
-155.0,0.0,
-154.5,0.0,
-154.0,0.0,
-153.5,0.0,
-153.0,0.0,
-152.5,0.0,
-152.0,0.0,
-151.5,0.0,
-151.0,0.0,
-150.5,0.0,
-150.0,0.0,
-149.5,0.0,
-149.0,0.0,
-148.5,0.0,
-148.0,0.0,
-147.5,0.0,
-147.0,0.0,
-146.5,0.0,
-146.0,0.0,
-145.5,0.0,
-145.0,0.0,
-144.5,0.0,
-144.0,0.0,
-143.5,0.0,
-143.0,0.0,
-142.5,0.0,
-142.0,0.0,
-141.5,0.0,
-141.0,0.0,
-140.5,0.0,
-140.0,0.0,
-139.5,0.0,
-139.0,0.0,
-138.5,0.0,
-138.0,0.0,
-137.5,0.0,
-137.0,0.0,
-136.5,0.0,
-136.0,0.0,
-135.5,0.0,
-135.0,0.0,
-134.5,0.0,
-134.0,0.0,
-133.5,0.0,
-133.0,0.0,
-132.5,0.0,
-132.0,0.0,
-131.5,0.0,
-131.0,0.0,
-130.5,0.0,
-130.0,0.0,
-129.5,0.0,
-129.0,0.0,
-128.5,0.0,
-128.0,0.0,
-127.5,0.0,
-127.0,0.0,
-126.5,0.0,
-126.0,0.0,
-125.5,0.0,
-125.0,0.0,
-124.5,0.0,
-124.0,0.0,
-123.5,0.0,
-123.0,0.0,
-122.5,0.0,
-122.0,0.0,
-121.5,0.0,
-121.0,0.0,
-120.5,0.0,
-120.0,0.0,
-119.5,0.0,
-119.0,0.0,
-118.5,0.0,
-118.0,0.0,
-117.5,0.0,
-117.0,0.0,
-116.5,0.0,
-116.0,0.0,
-115.5,0.0,
-115.0,0.0,
-114.5,0.0,
-114.0,0.0,
-113.5,0.0,
-113.0,0.0,
-112.5,0.0,
-112.0,0.0,
-111.5,0.0,
-111.0,0.0,
-110.5,0.0,
-110.0,0.0,
-109.5,0.0,
-109.0,0.0,
-108.5,0.0,
-108.0,0.0,
-107.5,0.0,
-107.0,0.0,
-106.5,0.0,
-106.0,0.0,
-105.5,0.0,
-105.0,0.0,
-104.5,0.0,
-104.0,0.0,
-103.5,0.0,
-103.0,0.0,
-102.5,0.0,
-102.0,0.0,
-101.5,0.0,
-101.0,0.0,
-100.5,0.0,
-100.0,0.0,
-99.5,0.0,
-99.0,0.0,
-98.5,0.0,
-98.0,0.0,
-97.5,0.0,
-97.0,0.0,
-96.5,0.0,
-96.0,0.0,
-95.5,0.0,
-95.0,0.0,
-94.5,0.0,
-94.0,0.0,
-93.5,0.0,
-93.0,0.0,
-92.5,0.0,
-92.0,0.0,
-91.5,0.0,
-91.0,0.0,
-90.5,0.0,
-90.0,0.01285261379585173,3.2600000000000002
-89.5,0.012551492814817655,3.3000000000000003
-89.0,0.012257391064256717,3.3400000000000003
-88.5,0.011969214362754055,3.3800000000000003
-88.0,0.011686103309371365,3.41
